keyword,workCount,adCount,dailyAdCount,dailyCount,cafeCount,cafeIds,articleUrlCount,firstPublishedAt,lastPublishedAt
"인삼 면역력","15","0","0","0","2","25227349 | 25636798","15","2026-01-25T06:28:17.438Z","2026-02-11T03:39:56.708Z"
"폐경","15","15","0","0","1","25227349","15","2026-04-23T12:03:05.180Z","2026-05-28T12:02:59.272Z"
"흑염소 부모님 선물","15","0","0","0","2","25227349 | 25636798","15","2026-01-25T08:29:52.968Z","2026-02-10T03:36:07.391Z"
"면역력높이는방법","14","1","0","0","3","25227349 | 25636798 | 25729954","14","2026-02-13T02:26:05.987Z","2026-04-07T11:04:05.227Z"
"비비고 비빔만두 신상 저녁으로 시켜본 후기","14","0","0","14","1","25729954","14","2026-04-23T09:14:22.070Z","2026-05-28T02:43:42.313Z"
"CU 오리지널 깐풍기 도시락 퇴근길에 사봤어요","13","0","0","13","1","25729954","13","2026-04-23T05:19:25.134Z","2026-05-22T05:19:12.491Z"
"녹용 원기회복","13","0","0","0","2","25227349 | 25636798","13","2026-01-26T02:01:54.307Z","2026-02-11T08:17:09.333Z"
"흑염소 몸보신","13","0","0","0","2","25227349 | 25636798","13","2026-01-27T01:53:39.180Z","2026-02-11T02:47:31.695Z"
"개구리즙 효능","12","2","9","0","3","25460974 | 25636798 | 25729954","12","2026-03-21T08:46:39.072Z","2026-05-27T07:55:22.558Z"
"산모 음식","12","3","8","0","4","25227349 | 25460974 | 25636798 | 25729954","12","2026-03-04T07:39:03.103Z","2026-05-27T07:29:11.013Z"
"흑염소 갱년기 효능","12","0","0","0","2","25227349 | 25636798","12","2026-01-23T00:50:31.343Z","2026-02-10T03:12:53.601Z"
"계류유산 소파술 후 한약","11","0","0","0","3","25227349 | 25636798 | 25729954","11","2026-03-11T12:33:37.475Z","2026-03-17T09:41:43.596Z"
"난소기능저하 영양제","11","0","0","0","3","25227349 | 25636798 | 25729954","11","2026-03-11T11:40:30.390Z","2026-03-17T09:23:50.942Z"
"어버이날 부모님선물","11","11","0","0","3","25227349 | 25636798 | 25729954","11","2026-04-23T08:08:44.427Z","2026-05-26T09:40:14.221Z"
"홍삼 활력 증진","11","0","0","0","2","25227349 | 25636798","11","2026-01-22T00:45:54.424Z","2026-02-11T04:45:16.591Z"
"흑염소 언제 먹나요","11","0","0","0","2","25227349 | 25636798","11","2026-01-25T06:46:54.376Z","2026-02-11T07:38:48.814Z"
"70대 할머니 선물","10","3","7","0","3","25460974 | 25636798 | 25729954","10","2026-04-04T09:53:29.920Z","2026-05-27T02:04:13.114Z"
"가임력 검사","10","1","0","0","3","25227349 | 25636798 | 25729954","10","2026-03-11T14:04:53.685Z","2026-05-03T18:15:03.585Z"
"산모에게좋은음식","10","0","0","0","3","25227349 | 25636798 | 25729954","10","2026-03-03T06:06:01.212Z","2026-03-17T12:54:54.298Z"
"호르몬주사","10","0","0","0","3","25227349 | 25636798 | 25729954","10","2026-03-11T13:33:25.278Z","2026-03-17T09:48:23.044Z"
"홍삼 피로개선","10","0","0","0","2","25227349 | 25636798","10","2026-01-26T01:14:25.946Z","2026-02-10T02:21:59.885Z"
"흑염소 하루 섭취량","10","0","0","0","2","25227349 | 25636798","10","2026-01-25T08:03:37.520Z","2026-02-10T06:24:30.518Z"
"80대 할머니 선물","9","5","3","0","3","25227349 | 25460974 | 25729954","9","2026-03-23T13:59:43.552Z","2026-05-20T04:53:23.014Z"
"남자 임신 준비","9","1","0","0","3","25227349 | 25636798 | 25729954","9","2026-03-11T11:40:46.869Z","2026-05-03T19:29:03.561Z"
"동결 자연주기","9","2","7","0","3","25460974 | 25636798 | 25729954","9","2026-04-04T10:09:53.336Z","2026-05-22T04:53:25.957Z"
"빈혈 증상","9","0","0","0","3","25227349 | 25460974 | 25636798","9","2026-02-13T00:32:52.710Z","2026-03-06T10:40:56.054Z"
"시아버지생신선물","9","1","0","0","3","25460974 | 25636798 | 25729954","9","2026-02-24T10:43:54.709Z","2026-05-03T14:47:02.984Z"
"엄마생신선물","9","0","0","0","2","25227349 | 25636798","9","2026-02-13T00:48:26.169Z","2026-03-09T06:02:19.631Z"
"흑염소 효능","9","7","1","0","4","25227349 | 25460974 | 25636798 | 25729954","9","2026-01-28T07:02:17.551Z","2026-05-17T13:21:15.954Z"
"결명자 눈 건강","8","0","0","0","2","25227349 | 25636798","8","2026-01-21T08:46:54.912Z","2026-02-09T07:36:37.417Z"
"난임 한약 비용","8","1","0","0","3","25227349 | 25636798 | 25729954","8","2026-03-11T13:03:22.825Z","2026-05-03T16:24:08.854Z"
"당귀효능","8","0","0","0","2","25460974 | 25636798","8","2026-02-13T03:42:49.570Z","2026-03-10T06:25:57.497Z"
"임신 준비 엽산","8","1","0","0","3","25227349 | 25636798 | 25729954","8","2026-03-11T11:40:19.204Z","2026-05-03T15:10:07.231Z"
"임신준비 금연 성공","8","2","6","0","3","25460974 | 25636798 | 25729954","8","2026-04-04T11:05:56.387Z","2026-05-22T02:04:14.335Z"
"친구 출산선물","8","7","0","0","2","25636798 | 25729954","8","2026-03-19T09:01:30.907Z","2026-05-10T11:41:25.136Z"
"흑염소 공복","8","0","0","0","2","25227349 | 25636798","8","2026-01-26T03:46:12.590Z","2026-02-11T10:18:05.735Z"
"흑염소진액","8","1","0","0","3","25227349 | 25636798 | 25729954","8","2026-02-28T09:59:54.402Z","2026-03-31T13:42:07.367Z"
"흑염소진액 효과","8","2","0","0","3","25227349 | 25636798 | 25729954","8","2026-02-02T03:27:50.448Z","2026-04-25T12:34:50.493Z"
"흑염소효능","8","2","1","0","4","25227349 | 25460974 | 25636798 | 25729954","8","2026-03-05T13:31:53.453Z","2026-04-25T08:40:19.684Z"
"도라지 기관지","7","0","0","0","2","25227349 | 25636798","7","2026-01-25T08:43:38.924Z","2026-02-11T04:08:38.753Z"
"면역력 좋아지는 음식","7","7","0","0","2","25227349 | 25636798","7","2026-04-23T07:16:42.334Z","2026-05-26T09:01:47.087Z"
"수족냉증 원인","7","0","0","0","2","25227349 | 25636798","7","2026-02-16T09:07:04.685Z","2026-03-10T05:49:29.969Z"
"홍삼 엑기스 효능","7","0","0","0","2","25227349 | 25636798","7","2026-01-22T01:21:54.150Z","2026-02-08T04:04:06.896Z"
"활성형 엽산","7","2","0","0","3","25227349 | 25636798 | 25729954","7","2026-03-11T09:01:23.136Z","2026-05-17T14:11:51.228Z"
"흑염소 가격 비교","7","0","0","0","2","25227349 | 25636798","7","2026-01-30T15:34:56.702Z","2026-02-10T06:09:01.744Z"
"흑염소 진액 효과","7","0","0","0","1","25227349","7","2026-01-26T00:54:16.427Z","2026-02-10T01:03:42.667Z"
"흑염소진액 추천","7","1","0","0","4","25227349 | 25460974 | 25636798 | 25729954","7","2026-02-23T03:16:34.456Z","2026-05-05T15:56:36.164Z"
"50대아빠생일선물","6","1","1","0","3","25460974 | 25636798 | 25729954","6","2026-02-24T11:07:10.106Z","2026-05-03T16:28:47.776Z"
"계류유산 원인","6","1","0","0","3","25227349 | 25636798 | 25729954","6","2026-03-11T12:14:49.939Z","2026-05-03T18:51:52.818Z"
"고등학생 비타민","6","3","3","0","3","25227349 | 25460974 | 25729954","6","2026-04-04T11:13:47.958Z","2026-05-20T02:11:17.127Z"
"남자 노산 나이","6","0","0","0","3","25227349 | 25460974 | 25636798","6","2026-03-11T11:40:29.815Z","2026-03-16T12:52:21.326Z"
"당귀 효능","6","0","0","0","2","25227349 | 25636798","6","2026-01-25T07:43:47.504Z","2026-02-23T01:29:03.619Z"
"만성피로 원인","6","4","0","0","3","25227349 | 25460974 | 25636798","6","2026-02-22T10:31:35.179Z","2026-05-10T11:54:34.037Z"
"보양식 추천","6","5","0","0","3","25227349 | 25636798 | 25729954","6","2026-03-25T12:30:07.412Z","2026-05-10T11:46:23.607Z"
"부모님생일선물","6","3","0","0","2","25636798 | 25729954","6","2026-03-01T04:03:54.224Z","2026-04-16T11:11:57.483Z"
"소음인운동","6","0","0","0","1","25227349","6","2026-02-12T09:44:11.110Z","2026-02-25T05:01:44.207Z"
"손발저림 원인","6","0","0","0","1","25636798","6","2026-02-13T02:59:56.132Z","2026-03-10T02:47:42.742Z"
"수족냉증 영양제","6","1","0","0","3","25227349 | 25636798 | 25729954","6","2026-02-22T09:32:48.842Z","2026-04-26T10:40:16.809Z"
"수족냉증원인","6","0","0","0","2","25227349 | 25636798","6","2026-02-16T09:47:01.549Z","2026-03-02T10:42:08.033Z"
"우슬 효능","6","0","0","0","2","25227349 | 25636798","6","2026-01-21T07:18:35.944Z","2026-02-09T02:18:28.532Z"
"임산부 잉어즙","6","1","0","0","3","25227349 | 25460974 | 25636798","6","2026-03-11T12:07:18.974Z","2026-05-17T13:16:31.971Z"
"임신준비 종합영양제","6","4","2","0","4","25227349 | 25460974 | 25636798 | 25729954","6","2026-04-05T05:42:49.062Z","2026-05-09T08:21:34.919Z"
"홍삼 면역력 강화","6","0","0","0","2","25227349 | 25636798","6","2026-01-28T03:15:40.158Z","2026-02-11T09:10:09.718Z"
"흑염소 뼈 건강","6","0","0","0","2","25227349 | 25636798","6","2026-01-30T16:36:03.977Z","2026-02-11T06:48:37.844Z"
"흑염소 엑기스 가격","6","0","0","0","4","25227349 | 25636798 | 31642514 | 31646389","6","2026-01-21T03:09:38.437Z","2026-02-11T09:25:33.633Z"
"흑염소진액 복용법","6","0","0","0","1","25636798","6","2026-02-02T01:20:56.398Z","2026-02-26T03:28:39.628Z"
"흑염소진액 성분","6","2","3","0","3","25227349 | 25460974 | 25729954","6","2026-03-23T09:26:44.133Z","2026-05-20T07:55:15.811Z"
"흑염소진액 효능","6","0","0","0","2","25227349 | 25636798","6","2026-01-20T07:41:42.232Z","2026-03-01T04:10:01.711Z"
"40살 임신 확률","5","0","0","0","3","25227349 | 25460974 | 25729954","5","2026-03-11T12:03:22.033Z","2026-03-17T13:07:38.990Z"
"41세 임신 확률","5","0","0","0","2","25636798 | 25729954","5","2026-03-11T08:56:01.013Z","2026-03-17T13:22:50.968Z"
"50세 임신","5","1","0","0","3","25227349 | 25460974 | 25636798","5","2026-03-11T12:10:33.963Z","2026-05-17T15:15:52.874Z"
"갱년기 선물","5","4","0","0","3","25227349 | 25636798 | 25729954","5","2026-03-19T09:09:09.458Z","2026-05-03T14:51:52.669Z"
"갱년기 추위","5","4","0","0","1","25227349","5","2026-03-24T08:04:08.348Z","2026-05-05T16:26:19.022Z"
"고령임신 영양제","5","1","4","0","2","25460974 | 25636798","5","2026-04-04T11:22:09.589Z","2026-05-21T09:09:56.584Z"
"공진단 효능","5","1","1","0","3","25227349 | 25460974 | 25636798","5","2026-03-06T05:35:26.815Z","2026-04-25T02:49:39.476Z"
"과배란주사","5","0","0","0","3","25227349 | 25636798 | 25729954","5","2026-03-11T12:11:39.499Z","2026-03-17T13:55:47.417Z"
"국내산토종흑염소진액","5","5","0","0","3","25227349 | 25636798 | 25729954","5","2026-04-05T23:01:30.497Z","2026-05-04T08:52:22.986Z"
"나팔관조영술 통증","5","0","0","0","3","25227349 | 25636798 | 25729954","5","2026-03-11T12:08:20.328Z","2026-03-17T12:42:48.259Z"
"노산 검사 항목","5","1","0","0","3","25227349 | 25636798 | 25729954","5","2026-03-14T07:27:00.637Z","2026-05-05T14:41:51.327Z"
"다이어트 유산균 비에날씬","5","3","2","0","2","25460974 | 25729954","5","2026-04-16T07:57:32.335Z","2026-04-26T11:44:07.478Z"
"복분자 정력","5","0","0","0","2","25227349 | 25636798","5","2026-01-22T01:23:12.688Z","2026-02-09T06:47:53.310Z"
"산후 호박즙","5","4","0","0","2","25227349 | 25636798","5","2026-03-20T11:06:29.976Z","2026-05-10T11:42:43.059Z"
"생강차효능","5","2","0","0","2","25227349 | 25636798","5","2026-02-13T02:07:22.755Z","2026-03-31T10:06:56.784Z"
"생리주기 불규칙","5","0","0","0","3","25227349 | 25460974 | 25636798","5","2026-03-11T12:03:17.710Z","2026-03-15T09:31:42.341Z"
"시험관 착상에 좋은 음식","5","2","3","0","3","25227349 | 25460974 | 25729954","5","2026-04-04T08:49:41.874Z","2026-05-20T08:21:32.557Z"
"아기엄마 선물","5","4","0","0","3","25227349 | 25636798 | 25729954","5","2026-03-19T09:50:40.147Z","2026-05-02T09:27:26.027Z"
"아빠생일선물","5","2","0","0","3","25227349 | 25636798 | 25729954","5","2026-02-24T01:30:45.565Z","2026-04-04T13:19:48.470Z"
"아빠환갑선물","5","0","0","0","2","25227349 | 25636798","5","2026-02-13T01:02:53.091Z","2026-02-25T05:26:23.669Z"
"아연많은음식","5","4","0","0","3","25227349 | 25636798 | 25729954","5","2026-03-04T04:40:00.949Z","2026-04-01T10:36:10.294Z"
"아이들 영양제","5","5","0","0","2","25227349 | 25729954","5","2026-04-12T09:09:42.956Z","2026-05-10T11:45:49.800Z"
"오한진의 백세알부민","5","4","1","0","2","25460974 | 25729954","5","2026-04-03T06:01:51.727Z","2026-04-26T04:21:54.666Z"
"인공수정 시험관 차이","5","2","2","0","2","25460974 | 25636798","5","2026-03-19T14:11:34.820Z","2026-05-10T11:43:48.542Z"
"임신 전 건강 검진","5","4","0","0","2","25227349 | 25636798","5","2026-03-25T11:06:45.510Z","2026-05-02T10:27:20.702Z"
"착상에 좋은 차","5","1","0","0","3","25227349 | 25636798 | 25729954","5","2026-03-11T12:14:09.876Z","2026-05-03T17:01:14.215Z"
"청궁흑염소","5","4","0","0","3","25227349 | 25636798 | 25729954","5","2026-03-23T11:43:09.532Z","2026-05-10T11:48:13.256Z"
"출산선물추천","5","0","0","0","3","25227349 | 25636798 | 25729954","5","2026-02-14T10:48:09.976Z","2026-02-28T08:20:15.641Z"
"출산후좋은음식","5","2","1","0","3","25227349 | 25460974 | 25729954","5","2026-02-12T03:27:20.380Z","2026-04-16T07:57:21.934Z"
"흑염소 남성 체력","5","0","0","0","1","25227349","5","2026-01-21T08:21:02.908Z","2026-02-08T02:56:50.363Z"
"흑염소 비교","5","0","0","0","4","25227349 | 25636798 | 31642514 | 31646389","5","2026-01-21T03:12:05.889Z","2026-02-03T03:06:30.482Z"
"흑염소 섭취방법","5","0","0","0","2","25227349 | 25636798","5","2026-01-21T10:43:21.514Z","2026-02-07T10:01:48.927Z"
"흑염소 진액 맛","5","0","0","0","2","25227349 | 25636798","5","2026-01-29T03:58:41.691Z","2026-02-11T06:22:44.156Z"
"흑염소 효과 차이","5","0","0","0","2","25227349 | 25636798","5","2026-01-21T08:17:30.064Z","2026-02-07T11:39:12.232Z"
"갱년기 병원","4","3","0","0","2","25227349 | 25636798","4","2026-03-19T10:58:37.707Z","2026-05-03T17:56:31.783Z"
"갱년기유산균YT1 메노락토 오리진","4","2","2","0","2","25460974 | 25729954","4","2026-04-16T08:46:34.232Z","2026-04-26T12:15:04.573Z"
"갱년기치료제","4","3","0","0","2","25227349 | 25636798","4","2026-03-19T12:14:47.051Z","2026-05-02T05:39:16.374Z"
"공복혈당낮추기","4","0","0","0","1","25227349","4","2026-02-12T08:41:34.402Z","2026-03-03T04:03:19.456Z"
"공진단가격","4","2","0","0","2","25227349 | 25729954","4","2026-03-05T05:36:18.185Z","2026-04-21T12:33:18.375Z"
"공진단효과","4","0","0","0","3","25227349 | 25636798 | 25729954","4","2026-02-19T03:55:20.942Z","2026-03-07T13:52:13.288Z"
"기력회복","4","0","0","0","2","25227349 | 25636798","4","2026-02-16T09:33:58.954Z","2026-03-09T08:33:13.894Z"
"김소영흑염소","4","4","0","0","1","25729954","4","2026-04-29T11:06:26.133Z","2026-05-10T11:52:47.349Z"
"나팔관조영술 실비","4","3","0","0","2","25227349 | 25636798","4","2026-03-19T14:18:43.270Z","2026-05-02T07:27:17.633Z"
"난소나이검사 지원금","4","2","2","0","3","25460974 | 25636798 | 25729954","4","2026-04-05T05:46:30.759Z","2026-05-09T07:55:23.985Z"
"녹용","4","0","0","0","3","25227349 | 25729954 | 31646389","4","2026-01-15T02:39:00.055Z","2026-03-09T11:10:08.634Z"
"당귀 효과","4","0","0","0","2","25227349 | 25636798","4","2026-02-07T10:22:34.427Z","2026-02-11T05:09:01.433Z"
